,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Restaurant_Count,Restaurant_Distance,Shopping_Count,Shopping_Distance,Park_Count,Park_Distance,price_category,Year
125,4389200955,20150302T000000,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980.0,770,1914,1992,98004,47.6141,-122.212,3060,11275,4,0.7674988599462672,8,0.35101881927619233,1,0.6078004649649231,4,2015
421,6073200075,20140730T000000,625000.0,3,1.75,1600,9135,1.0,0,0,5,7,1600.0,0,1955,0,98006,47.5724,-122.179,1580,9800,1,0.6786505103283063,2,0.4880741452610031,0,3.9352422835105267,3,2014
525,4348800030,20141121T000000,727500.0,2,2.0,1240,9119,1.0,0,0,4,7,1240.0,0,1952,0,98004,47.6221,-122.193,1380,9121,4,0.7017620157229643,15,0.2403583582948722,0,1.3405656300219209,4,2014
564,5307100060,20141216T000000,638700.0,3,1.75,2080,9162,1.0,0,0,3,7,1370.0,710,1960,0,98005,47.5846,-122.168,1870,8944,1,0.9262964554895411,3,0.5108629808614582,0,2.6308206305939708,3,2014
659,708000030,20140902T000000,888000.0,3,1.5,1250,8710,1.0,0,0,4,7,1250.0,0,1953,0,98004,47.6245,-122.198,1750,9185,3,0.7110679888769985,13,0.41970136204326036,0,1.392897739469065,4,2014
766,8146100270,20150324T000000,824000.0,4,2.25,2490,9864,1.0,0,0,4,8,1290.0,1200,1961,0,98004,47.6051,-122.195,2360,9864,1,0.817167494478651,8,0.4085332435567002,1,1.087894339118595,4,2015
784,686500030,20141202T000000,650000.0,6,2.75,3610,10003,1.5,0,0,4,8,3610.0,0,1966,0,98008,47.6261,-122.125,2560,10004,1,0.8844377396006663,2,0.8460355783139943,0,2.4557844896370216,4,2014
925,2465400036,20141203T000000,990000.0,4,2.5,2780,10480,1.0,0,3,3,7,1390.0,1390,1967,0,98033,47.6597,-122.204,2860,10506,1,0.3953524990079902,1,0.8909404226744086,0,1.557885663369753,4,2014
947,2925059135,20150408T000000,1321500.0,3,3.0,2230,12968,2.0,0,0,3,9,2230.0,0,1990,0,98004,47.6271,-122.197,2260,10160,2,1.0097081358510516,5,0.7107095342948907,0,1.6906766555886985,4,2015
969,7555210340,20140825T000000,752500.0,4,2.25,2360,8616,2.0,0,0,4,8,2360.0,0,1974,0,98033,47.6495,-122.198,2360,9337,1,1.0618414468272974,2,0.7597584943354934,1,1.199743330994278,4,2014
990,4100000140,20141013T000000,640000.0,4,1.75,2060,9828,1.0,0,0,4,8,2060.0,0,1960,0,98005,47.5867,-122.174,2260,9996,1,1.0811119851561788,1,1.0013593123258873,0,2.339140417874795,3,2014
1101,2197600451,20141105T000000,631000.0,5,2.0,2270,2400,2.0,0,0,3,7,2270.0,0,1905,0,98122,47.6051,-122.319,1320,2400,10,0.6792291077417686,1,0.9876651515081825,2,1.007586505878737,3,2014
1174,3250500140,20141008T000000,850000.0,3,1.75,1400,9900,1.0,0,0,3,7,1400.0,0,1951,0,98004,47.6272,-122.209,1810,10796,1,1.173281986537851,3,1.1078488744574273,0,1.6542696059685977,4,2014
1272,4389200765,20140625T000000,2300000.0,4,3.25,4250,8570,2.0,0,0,3,9,4250.0,0,2004,0,98004,47.6154,-122.21,2830,12821,4,0.5936809448341894,10,0.20674662340616448,1,0.5313227279521556,4,2014
1282,8964800445,20150209T000000,2260000.0,3,3.5,3110,14872,1.0,0,0,3,10,3110.0,0,2003,0,98004,47.6178,-122.209,3110,12433,4,0.5578117775164706,14,0.35950397241728377,1,0.6744023693896166,4,2015
1317,4037800140,20140814T000000,548000.0,4,2.0,2100,8880,1.0,0,0,4,7,2100.0,0,1958,0,98008,47.6115,-122.124,1280,9102,1,0.9984381101266129,1,0.9890953838955882,0,3.8477153335244876,3,2014
